<file CEP_creative_0042> <domain CREATIVE> <corpus CEP_Dias_2026>
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
position ^nn+nom+++=position:
: ^zz++++=EXTRAWORD
Feral ^np+++??+=Feral
pigs ^nns++++=pigs
have ^vb+hv+aux++=have
become ^vprf+++xvbn+=become
a ^at++++=a
major ^jj+atrb+++=major
problem ^nn++++=problem
on ^in++++=on
Oahu ^np+++??+=Oahu,
, ^zz++++=EXTRAWORD
causing ^vbg+++xvbg+=causing
extensive ^jj+atrb+++=extensive
damage ^nn++++=damage
to ^in++++=to
the ^ati++++=the
island ^nn++++=island's
's ^$++++=EXTRAWORD
ecosystem ^nn+++??+=ecosystem.
. ^zz++++=EXTRAWORD
As ^ql++++=As
such ^abl++++=such,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
argue ^vb+vpub+++=argue
that ^tht+vcmp+++=that
eradicating ^vbg+++xvbg+=eradicating
feral ^jj+atrb+++=feral
pigs ^nns++++=pigs
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
protect ^vbi++++=protect
native ^jj+atrb+++=native
species ^nns++++=species,
, ^zz++++=EXTRAWORD
preserve ^nn++++=preserve
the ^ati++++=the
island ^nn++++=island's
's ^vbz+bez+vrb++0=EXTRAWORD
natural ^jj+atrb+++=natural
beauty ^nn++++=beauty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
safeguard ^nn++++=safeguard
public ^jj+atrb+++=public
health ^nn++++=health.
. ^zz++++=EXTRAWORD
Using ^vbg+++xvbg+=Using
the ^ati++++=the
above ^nn++++=above
as ^in++++=as
a ^at++++=a
guide ^nn++++=guide,
, ^zz++++=EXTRAWORD
write ^vb++++=write
an ^at++++=an
introductory ^jj+atrb+++=introductory
paragraph ^nn++++=paragraph
for ^in++++=for
a ^at++++=a
position ^nn+nom+++=position
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
Start ^vb++++=Start
with ^in++++=with
a ^at++++=a
pertinent ^jj+atrb+++=pertinent
quote ^nn++++=quote
which ^whp+rel+subj++=which
would ^md+prd+++=would
serve ^vb++++=serve
as ^in++++=as
a ^at++++=a
hook ^nn++++=hook.
. ^zz++++=EXTRAWORD
Provide ^vb+vsua+++=Provide
relevant ^jj+atrb+++=relevant
background ^nn++++=background
info ^nn+++??+=info.
. ^zz++++=EXTRAWORD
Make ^vb++++=Make
it ^pp3+it+++=it
interesting ^jj++++=interesting.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
sister ^nn++++=sister
works ^nns++++=works
for ^in++++=for
a ^at++++=a
beer ^nn++++=beer
brewery ^nn+nom+++=brewery
called ^vbd+++xvbn+=called
Goofy ^jj+atrb+++=Goofy
Foot ^nn++++=Foot
Tap ^nn++++=Tap
Room ^nn++++=Room
( ^zz++++=(a
a ^at++++=EXTRAWORD
reference ^nn+nom+++=reference
to ^in++++=to
backwards ^rb++++=backwards
stances ^nns+nom++??+=stances
on ^in++++=on
a ^at++++=a
skateboard ^nn+++??+=skateboard,
, ^zz++++=EXTRAWORD
snowboard ^nn+++??+=snowboard,
, ^zz++++=EXTRAWORD
etc ^rb++++=etc).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Could ^md+pos+++=Could
suggest ^vb+vpub+++=suggest
a ^at++++=a
recipe ^nn++++=recipe
for ^in++++=for
a ^at++++=a
blackberry ^nn++++=blackberry
sour ^jj+atrb+++=sour
beer ^nn++++=beer
along ^in++++=along
with ^in"++++=with
name ^nn++++=name
for ^in++++=for
the ^ati++++=the
beer ^nn++++=beer
that ^tht+rel+subj++=that
