A ^at++++=A
Python ^np+++??+=Python
script ^nn++++=script
that ^tht+rel+subj++=that
will ^md+prd+++=will
detect ^vb++++=detect
if ^cs+cnd+++=if
Plex ^np+++??+=Plex
is ^vbz+bez+aux++=is
playing ^vbg+++xvbgx+=playing
anything ^pn++++=anything
, ^zz++++=,
and ^cc+cls+++=and
then ^rn+tm+++=then
keep ^vb++++=keep
the ^ati++++=the
system ^nn++++=system
awake ^jj+atrb+++=awake
until ^in++++=until
current ^jj+atrb+++=current
time ^nn++++=time
+ ^zz++++=+
5 ^zz++++=5
minutes ^nns++++=minutes
. ^zz++++=.
The ^ati++++=The
script ^nn++++=script
should ^md+nec+++=should
use ^vb++++=use
the ^ati++++=the
Plexapi ^np+++??+=Plexapi
and ^cc++++=and
Wakepy ^np+++??+=Wakepy
Libraries ^nns++++=libraries
 ^zz++++=.
The ^ati++++=The
Script ^nn++++=script
Should ^md+nec+++=should
Run ^vb++++=run
Every ^at++++=every
Minute ^nn++++=minute
 ^zz++++=.
