Write ^vb++++=Write
a ^at++++=a
caption ^nn+nom+++=caption
for ^in++++=for
Instagram ^np+++??+=Instagram
post ^nn++++=post
with ^in++++=with
an ^at++++=an
image ^nn++++=image
of ^in++++=of
big ^jj+atrb+++=big
mall ^np++++=mall
has ^vbz+hvz+vrb++=has
white ^jj+atrb+++=white
walls ^nns++++=walls
and ^cc++++=and
white ^jj+atrb+++=white
floor ^nn++++=floor
and ^cc++++=and
mall ^np++++=mall
name ^nn++++=name
is ^vbz+bez+vrb++=is
mall ^np++++=Mall
of ^in++++=of
arabia ^np++++=Arabia
. ^zz++++=.
