I ^pp1a+pp1+++=I
need ^nn++++=need
help ^vb++++=help
coming ^vbg+++xvbg+=coming
up ^rb+phrv+++=up
with ^in+ppvb+++=with
script ^nn++++=script
ideas ^nns++++=ideas
for ^in++++=for
a ^at++++=a
youtube ^nn+++??+=youtube
channel ^npl++++=channel
. ^zz++++=.
The ^ati++++=The
scripts ^nns++++=scripts
will ^md+prd+++=will
be ^vb+be+vrb++=be
about ^in++++=about
readers ^nns+nom+++=readers
who ^whp+rel+subj++=who
send ^vb++++=send
a ^at++++=a
letter ^nn++++=letter
to ^in++++=to
the ^ati++++=the
editor ^nn++++=editor
to ^to++++=to
ask ^vbi++++=ask
for ^in+ppvb+++=for
advice ^nn++++=advice
about ^in++++=about
personal ^jj+atrb+++=personal
problems ^nns++++=problems
. ^zz++++=.
the ^ati++++=The
videos ^nns++++=videos
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
have ^vbi++vrb++=have
a ^at++++=a
hook ^nn++++=hook
. ^zz++++=.
