Justin ^np+++??+=Justin
Adair ^np+++??+=Adair
. ^zz++++=.
Build ^nn++++=Build
a ^at++++=a
winning ^jj+atrb++xvbg+=winning
business ^nns+nom+++=business
profile ^nn++++=profile
. ^zz++++=.
Why ^wrb+who+whq++=Why
should ^md+nec+++=should
customers ^nns+nom+++=customers
hire ^vb++++=hire
you ^pp2+pp2+++=you
? ^zz++++=?
Explain ^vb+vpub+++=Explain
what ^wdt+who+whcl++=what
makes ^vbz++++=makes
your ^pp$+pp2+++=your
business ^nns+nom+++=business
stand ^nn++++=stand
out ^rp+pl+++=out
and ^cc+cls+++=and
why ^wrb+who+++=why
you ^pp2+pp2+++=you
will ^md+prd+++=will
do ^vb+do+vrb++=do
a ^at++++=a
great ^jj+atrb+++=great
job ^nn++++=job
. ^zz++++=.
Introduce ^vb++++=Introduce
yourself ^ppl+pp2+++=yourself
and ^cc++++=and
your ^pp$+pp2+++=your
business ^nns+nom+++=business
Minimum ^nn++++=Minimum
40 ^cd++++=40
characters ^nns+nom+++=characters
. ^zz++++=.
Example ^nn++++=Example
Introductions ^nns+nom+++=Introductions
. ^zz++++=.
You ^pp2+pp2+++=You
can ^md+pos+++=can
mention ^nn+nom+++=mention
: ^zz++++=:
Years ^nns++++=Years
in ^in++++=in
business ^nns+nom+++=business
, ^zz++++=,
what ^wdt+who+++=what
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
passionate ^jj+pred+++=passionate
about ^in+strn+++=about
, ^zz++++=,
special ^jj+atrb+++=special
skills ^nns++++=skills
or ^cc++++=or
equipment ^nn+nom+++=equipment
. ^zz++++=.
Software ^np+++??+=Software
Development ^nn+nom+++=Development
, ^zz++++=,
Web ^nn++++=Web
Design ^nn++++=Design
, ^zz++++=,
Logo ^np+++??+=Logo
Design ^nn++++=Design
, ^zz++++=,
Graphic ^jj+atrb+++=Graphic
Design ^nn++++=Design
, ^zz++++=,
Social ^jj+atrb+++=Social
Media ^nn++++=Media
Marketing ^nn++++=Marketing
, ^zz++++=,
Marketing ^nn++++=Marketing
Presentation ^nn+nom+++=Presentation
Design ^nn++++=Design
, ^zz++++=,
E ^zz++++=E-commerce
- ^zz++++=EXTRAWORD
commerce ^nn++++=EXTRAWORD
Consulting ^vwbg+++xvbg+=Consulting
, ^zz++++=,
Mobile ^jj+atrb+++=Mobile
Design ^nn++++=Design
 ^zz++++=,
Web ^nn++++=Web
Hosting ^np++++=Hosting
 ^zz++++=,
Graphic ^jj+atrb+++=Graphic
Design ^nn++++=Design
Instruction ^nn+nom+++=Instruction
 ^zz++++=.
