Can ^md+pos+++=Can
you ^pp2+pp2+++=you
write ^vb++++=write
a ^at++++=a
C ^zz++++=C#
# ^zz++++=EXTRAWORD
program ^nn+++??+=program
that ^tht+rel+subj++=that
accepts ^vbz++++=accepts
a ^at++++=a
list ^nn++++=list
of ^in++++=of
integers ^nns+nom+++=integers
and ^cc++++=and
outputs ^nns+++??+=outputs
the ^ati++++=the
first ^od++++=first
integer ^nn++++=integer
number ^nn++++=number
greater ^jjr++++=greater
than ^in++++=than
0 ^zz++++=0
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
inside ^jjb++++=inside
the ^ati++++=the
list ^nn++++=list
? ^zz++++=?
