Please ^uh++++=Please
write ^vb++++=write
a ^at++++=a
function ^nn+nom+++=function
that ^tht+rel+++=that
, ^zz++++=,
when ^wrb+who+++=when
given ^jj+++xvbn+=given
an ^at++++=an
input ^nn++++=input
Ooxml ^np+++??+=OOXML
Excel ^np+++??+=Excel
file ^nn++++=file
path ^nn++++=path
, ^zz++++=,
provides ^vbz+vsua+++=provides
output ^nn++++=output
about ^in++++=about
all ^abn++++=all
merged ^xvbn+++xvbn+=merged
cells ^nns++++=cells
on ^in++++=on
all ^abn++++=all
worksheets ^nns++++=worksheets
the ^ati++++=the
excel ^np++++=Excel
document ^nn+nom+++=document
. ^zz++++=.
