I ^pp1a+pp1+++=I
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
develop ^vb++++=develop
a ^at++++=a
Java ^np+++??+=Java
program ^nn+++??+=program
the ^ati++++=the
evaluates ^nns+nom+++=evaluates
if ^cs+cnd+++=if
a ^at++++=a
boards ^nns++++=boards
of ^in++++=of
the ^ati++++=the
15 ^cd++++=15
fifteen ^cd++++=fifteen
puzzle ^nn++++=puzzle
is ^vbz+bez+vrb++=is
solvable ^jj+pred+++=solvable
, ^zz++++=,
place ^nn++++=place
the ^ati++++=the
blank ^jj+atrb+++=blank
space ^nn++++=space
in ^in++++=in
0 ^zz++++=0
, ^zz++++=,
and ^cc+cls+++=and
the ^ati++++=the
input ^nn++++=input
is ^vbz+bez+aux++=is
given ^vpsv++by+xvbnx+=given
by ^in++++=by
a ^at++++=a
line ^nn++++=line
with ^in++++=with
all ^abn++++=all
the ^ati++++=the
16 ^cd++++=16
numbers ^nns+nom+++=numbers
and ^cc++++=and
pass ^vb++++=pass
it ^pp3+it+++=it
to ^to++++=to
an ^at++++=an
array ^nn++++=array
. ^zz++++=.
