You ^pp2+pp2+++=You
are ^vb+ber+aux++=are
given ^vpsv++agls+xvbnx+=given
an ^at++++=an
unsorted ^jj+atrb++xvbn+=unsorted
array ^nn++++=array
A ^at++++=A
( ^zz++++=(
1 ^zz++++=1
: ^zz++++=:
n ^zz++++=n
) ^zz++++=)
of ^in++++=of
n ^zz++++=n
distinct ^jj+atrb+++=distinct
positive ^jj+atrb+++=positive
integers ^nns+nom+++=integers
. ^zz++++=.
Design ^nn++++=Design
an ^at++++=an
algorithm ^nn+++??+=algorithm
that ^tht+rel+++=that
in ^in++++=in
O ^zz++++=O
( ^zz++++=(
n ^zz++++=n
+ ^zz++++=+
M ^zz++++=M
) ^zz++++=)
worst ^jjt++++=worst-case
- ^zz++++=EXTRAWORD
case ^nn++++=EXTRAWORD
time ^nn++++=time
, ^zz++++=,
where ^wrb+who+++=where
M ^zz++++=M
is ^vbz+bez+vrb++=is
the ^ati++++=the
maximum ^jj+atrb+++=maximum
possible ^jj+atrb+++=possible
integer ^nn++++=integer
within ^in++++=within
A ^at++++=A
finds ^vbz+vprv+++=finds
the ^ati++++=the
h ^zz++++=h-index
- ^zz++++=EXTRAWORD
index ^nn++++=EXTRAWORD
of ^in++++=of
A ^at++++=A
. ^zz++++=.
The ^ati++++=The
h ^zz++++=h-index
- ^zz++++=EXTRAWORD
index ^nn++++=EXTRAWORD
is ^vbz+bez+aux++=is
defined ^vpsv++agls+xvbnx+=defined
as ^ql++++=as
the ^ati++++=the
maximum ^jj+atrb+++=maximum
integer ^nn++++=integer
h ^zz++++=h
such ^abl++++=such
that ^dt+dem+++=that
A ^at++++=A
( ^zz++++=(
1 ^zz++++=1
: ^zz++++=:
n ^zz++++=n
) ^zz++++=)
has ^vbz+hvz+vrb++=has
at ^rb++++=at
least ^rb"++++=least
h ^zz++++=h
indices ^nns++++=indices
whose ^whp+rel+obj++=whose
entry ^nn++++=entry
is ^vbz+bez+vrb++=is
at ^rb++++=at
least ^rb"++++=least
h ^zz++++=h
. ^zz++++=.
( ^zz++++=(
25 ^cd++++=25
points ^nns++++=points
) ^zz++++=)
. ^zz++++=.
