Write ^vb++++=Write
a ^at++++=a
Visual ^jj++++=Visual
C ^zz++++=C
program ^nn+++??+=program
which ^whp+rel+subj++=which
can ^md+pos+++=can
be ^vb+be+aux++=be
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
a ^at++++=a
certain ^jj+atrb+++=certain
file ^nn++++=file
extension ^nn++++=extension
on ^in++++=on
Windows ^nns++++=Windows
and ^cc++++=and
displays ^nns++++=displays
a ^at++++=a
custom ^nn++++=custom
message ^nn+nom+++=message
and ^cc++++=and
an ^at++++=an
exit ^nn++++=exit
button ^nn++++=button
. ^zz++++=.
