Act ^nn++++=Act
as ^ql++++=as
a ^at++++=a
Unity ^nn++++=Unity
technical ^jj+atrb+++=technical
artist ^nn++++=artist
. ^zz++++=.
You ^pp2+pp2+++=You
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
tasked ^vpsv++agls+xvbnx+=tasked
to ^to++++=to
create ^vbi++++=create
an ^at++++=an
overlay ^nn++++=overlay
effect ^nn++++=effect
using ^vwbg+++xvbg+=using
the ^ati++++=the
camera ^nn++++=camera
stacking ^vwbg+++xvbg+=stacking
feature ^nn++++=feature
in ^in++++=in
Unity ^nn++++=Unity
. ^zz++++=.
The ^ati++++=The
effect ^nn++++=effect
should ^md+nec+++=should
be ^vb+be+vrb++=be
a ^at++++=a
gradient ^nn++++=gradient
between ^in++++=between
two ^cd++++=two
colors ^nns++++=colors
at ^in++++=at
a ^at++++=a
45 ^cd++++=45
degree ^nn++++=degree
angle ^nn++++=angle
from ^in++++=from
top ^jjb++++=top
right ^nn++++=right
to ^to+ncmp+++=to
bottom ^vb++++=bottom
left ^vbd+++xvbn+=left
corner ^npl++++=corner
of ^in++++=of
the ^ati++++=the
screen ^nn++++=screen
. ^zz++++=.
Transparency ^nn++++=Transparency
should ^md+nec+++=should
also ^rb++++=also
be ^vb+be+vrb++=be
a ^at++++=a
gradient ^nn++++=gradient
where ^wrb+who+++=where
the ^ati++++=the
default ^jj+atrb++xvbn+=default
value ^nn++++=value
in ^in++++=in
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
the ^ati++++=the
screen ^nn++++=screen
is ^vbz+bez+vrb++=is
full ^jj+atrb+++=full
transparency ^nn++++=transparency
and ^cc++++=and
at ^in++++=at
the ^ati++++=the
two ^cd++++=two
corners ^nns+nom+++=corners
50 ^cd++++=50%
% ^zz++++=EXTRAWORD
transparency ^nn++++=transparency
. ^zz++++=.
