Write ^vb++++=Write
me ^pp1o+pp1+++=me
a ^at++++=a
personalized ^jj+atrb++xvbn+=personalized
cover ^nn++++=cover
letter ^nn++++=letter
explaining ^vwbg+vpub++xvbg+=explaining
why ^wrb+who+whcl++=why
I ^pp1a+pp1+++=I
' ^zz++++='
m ^zz++++=m
a ^at++++=a
great ^jj+atrb+++=great
candidate ^nn+nom+++=candidate
for ^in++++=for
this ^dt+dem+++=this
job ^nn++++=job
. ^zz++++=.
The ^ati++++=The
job ^nn++++=job
title ^nn++++=title
is ^vbz+bez+vrb++=is
Internship ^np+nom++??+=Internship
the ^ati++++=the
company ^nn++++=company
is ^vbz+bez+vrb++=is
Mtn ^np+++??+=MTN
Uganda ^np++++=Uganda
and ^cc++++=and
here ^rn+pl+++=here
is ^vbz+bez+vrb++=is
the ^ati++++=the
job ^nn++++=job
description ^nn+nom+++=description
. ^zz++++=.
The ^ati++++=The
initiative ^nn++++=initiative
provides ^vbz+vsua+++=provides
a ^at++++=a
three ^cd++++=three-month
- ^zz++++=EXTRAWORD
month ^nn++++=EXTRAWORD
soft ^jj+atrb+++=soft
skills ^nns++++=skills
training ^nn++++=training
and ^cc++++=and
internship ^nn+nom+++=internship
placement ^nn+nom+++=placement
for ^in++++=for
fresh ^jj+atrb+++=fresh
graduates ^nns+nom+++=graduates
. ^zz++++=.
Graduates ^nns+nom+++=Graduates
will ^md+prd+++=will
be ^vb+be+aux++=be
placed ^vpsv++agls+xvbnx+=placed
at ^rb++++=at
Mtn ^np+++??+=MTN
Uganda ^np++++=Uganda
to ^to++++=to
do ^vbi++++=do
internship ^nn+nom+++=internship
for ^in++++=for
a ^at++++=a
period ^nn++++=period
of ^in++++=of
three ^cd++++=three
months ^nns++++=months
. ^zz++++=.
The ^ati++++=The
training ^nn++++=training
and ^cc++++=and
coaching ^xvbg+++xvbg+=coaching
implementing ^vbg+++xvbg+=implementing
partner ^nn++++=partner
is ^vbz+bez+vrb++=is
Makerere ^np+++??+=Makerere
University ^nn+nom+++=University
Business ^nns+nom+++=Business
School ^nn++++=School
Innovation ^nn+nom+++=Innovation
, ^zz++++=,
Incubation ^nn+nom+++=Incubation
And ^cc++++=and
Entrepreneurship ^np+nom+++=Entrepreneurship
Centre ^jjb++++=Centre
 ^zz++++=(
Mubs ^np++++=MUBS-EIIC

 ^zz++++=EXTRAWORD
Eiic ^jj++++=EXTRAWORD
	 ^zz++++=)
 ^zz++++=.
