You ^pp2+pp2+++=You
are ^vb+ber+vrb++=are
my ^pp$+pp1+++=my
email ^nn+++??+=email
marketing ^nn++++=marketing
director ^nn++++=director
. ^zz++++=.
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
going ^md"++pmd"++=going
to ^md+prd+++=to
explain ^vb+vpub+++=explain
the ^ati++++=the
free ^jj+atrb+++=free
ebook ^nn+++??+=ebook
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they
get ^vb++++=get
and ^cc++++=and
you ^pp2+pp2+++=you
will ^md+prd+++=will
do ^vb+do+vrb++=do
a ^at++++=a
3 ^zz++++=3
email ^nn++++=email
sequince ^nn++++=sequince
for ^in++++=for
purchasing ^nn++++=purchasing
our ^pp$+pp1+++=our
hair ^nn++++=hair
care ^nn++++=care
products ^nns++++=products
. ^zz++++=.
