Ome ^np+++??+=Ome
up ^rb+phrv+++=up
with ^in+ppvb+++=with
10 ^cd++++=10
humanoid ^jj+atrb+++=humanoid
characters ^nns+nom+++=characters
for ^in++++=for
a ^at++++=a
space ^nn++++=space
opera ^nn++++=opera
serial ^jj++++=serial
. ^zz++++=.
They ^pp3a+pp3+++=They
all ^abn++++=all
travel ^vb++++=travel
through ^in++++=through
space ^nn++++=space
in ^in++++=in
a ^at++++=a
single ^jj+atrb+++=single
huge ^jj+atrb+++=huge
spaceship ^nn+nom+++=spaceship
. ^zz++++=.
2 ^zz++++=2
child ^nn++++=child
. ^zz++++=.
1 ^zz++++=1
old ^jj+atrb+++=old
crazy ^jj+atrb+++=crazy
scientist ^nn+nom+++=scientist
. ^zz++++=.
2 ^zz++++=2
funny ^jj+atrb+++=funny
engineers ^nns+nom+++=engineers
. ^zz++++=.
1 ^zz++++=1
tourist ^nn+nom+++=tourist
. ^zz++++=.
1 ^zz++++=1
capitan ^np++++=Capitan
. ^zz++++=.
4 ^zz++++=4
engeneers ^nns+nom+++=engeneers
. ^zz++++=.
