I ^pp1a+pp1+++=I
require ^vb+vsua+tht0++=require
your ^pp$+pp2+++=your
assistance ^nn+nom+++=assistance
to ^to+vcmp+++=to
draft ^vb++++=draft
some ^dti++++=some
articles ^nns++++=articles
about ^in++++=about
Office ^nn++++=Office
of ^in++++=of
Fair ^jj+atrb+++=Fair
Trading ^jj+atrb++xvbg+=Trading
Variation ^nn+nom+++=Variation
clause ^nn++++=clause
in ^in++++=in
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
residential ^jj+atrb+++=residential
construction ^nn+nom+++=construction
in ^in++++=in
Nsw ^np+++??+=NSW
, ^zz++++=,
Australia ^np++++=Australia
 ^zz++++=.
For ^in++++=For
Now ^rn+tm+++=now
 ^zz++++=,
Just ^rb+emph+++=just
Acknowledge ^vb+vpub+tht0++=acknowledge
My ^pp$+pp1+++=my
Message ^nn+nom+++=message
 ^zz++++=.
