Create ^vb++++=Create
a ^at++++=a
content ^nn++++=content
plan ^vb++++=plan
for ^in+ppvb+++=for
my ^pp$+pp1+++=my
11 ^cd++++=11
year ^nn++++=year
old ^jj++++=old
for ^in++++=for
a ^at++++=a
youtube ^nn+++??+=youtube
channel ^npl++++=channel
they ^pp3a+pp3+++=they
want ^vb++++=want
to ^to+vcmp+++=to
create ^vbi++++=create
. ^zz++++=.
The ^ati++++=The
channel ^nn++++=channel
will ^md+prd+++=will
feature ^vb++++=feature
them ^pp3o+pp3+++=them
playing ^jj+atrb+++=playing
fortnite ^np++++=Fortnite
and ^cc++++=and
narrating ^nn++++=narrating
it ^pp3+it+++=it
with ^in++++=with
audio ^nn++++=audio
. ^zz++++=.
