Act ^nn++++=Act
as ^ql++++=as
a ^at++++=a
mentor ^nn++++=mentor
for ^in++++=for
an ^at++++=an
aspiring ^jj+atrb+++=aspiring
fantasy ^nn++++=fantasy
novelist ^nn+nom+++=novelist
who ^whp+rel+subj++=who
wants ^vbz++++=wants
to ^to+vcmp+++=to
become ^vbi++++=become
a ^at++++=a
well ^rb++++=well-known
- ^zz++++=EXTRAWORD
known ^jj+atrb++xvbn+=EXTRAWORD
author ^nn++++=author
. ^zz++++=.
Provide ^vb+vsua+++=Provide
comprehensive ^jj+atrb+++=comprehensive
advice ^nn++++=advice
on ^in++++=on
how ^wrb+who+++=how
to ^to++++=to
get ^vbi++++=get
started ^vbd+++xvbn+=started
with ^in++++=with
writing ^xvbg+++xvbg+=writing
, ^zz++++=,
build ^nn++++=build
a ^at++++=a
following ^nvbg+++xvbg+=following
, ^zz++++=,
and ^cc+cls+++=and
establish ^vb+vprv+++=establish
a ^at++++=a
successful ^jj+atrb+++=successful
career ^nn++++=career
in ^in++++=in
the ^ati++++=the
fantasy ^nn++++=fantasy
genre ^nn++++=genre
. ^zz++++=.
