Todays ^np+++??+=Todays
Price ^nn++++=Price
Action ^nn++++=Action
reminds ^vbz++++=reminds
me ^pp1o+pp1+++=me
of ^in++++=of
June ^nr++++=June
12 ^cd++++=12
, ^zz++++=,
1883 ^cd+date+++=1883
. ^zz++++=.
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
a ^at++++=a
tough ^jj+atrb+++=tough
day ^nn++++=day
. ^zz++++=.
Jeremy ^np++++=Jeremy
Caruthers ^nns+nom++??+=Caruthers
got ^vbd+++xvbn+=got
carried ^vbd+++xvbn+=carried
out ^rp+pl+++=out
on ^in++++=on
a ^at++++=a
bad ^jj+atrb+++=bad
cotton ^nn++++=cotton
trade ^nn++++=trade
. ^zz++++=.
Meriwether ^np+nom++??+=Meriwether
got ^vbd+++xvbn+=got
his ^pp$+pp3+++=his
clock ^nn++++=clock
cleaned ^vwbn+++xvbn+=cleaned
on ^in++++=on
a ^at++++=a
bad ^jj+atrb+++=bad
corn ^nn++++=corn
bet ^vbd+vpub++xvbn+=bet
. ^zz++++=.
Johannes ^np+++??+=Johannes
of ^in+emph+++=of
course ^nn+emph"+++=course
took ^vbd+++xvbn+=took
advantage ^nn+nom+++=advantage
of ^in++++=of
the ^ati++++=the
situation ^nn+nom+++=situation
, ^zz++++=,
as ^ql++++=as
he ^pp3a+pp3+++=he
usually ^rb+down+++=usually
did ^vbd+dod+vrb++=did
, ^zz++++=,
by ^in++++=by
taking ^nn++++=taking
spreads ^vbz++++=spreads
on ^in++++=on
both ^abx++++=both
sides ^nns++++=sides
of ^in++++=of
the ^ati++++=the
. ^zz++++=.
