Can ^md+pos+++=Can
you ^pp2+pp2+++=you
draft ^vb++++=draft
a ^at++++=a
nice ^jj+atrb+++=nice
email ^nn+++??+=email
response ^nn++++=response
to ^in++++=to
a ^at++++=a
job ^nn++++=job
candidate ^nn+nom+++=candidate
who ^whp+rel+subj++=who
applied ^vbd+++xvbn+=applied
to ^in++++=to
the ^ati++++=the
job ^nn++++=job
but ^cc++++=but
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
not ^xnot++not++=not
ready ^jj++++=ready
to ^to+jcmp+++=to
interview ^vb++++=interview
them ^pp3o+pp3+++=them
yet ^rb++++=yet
. ^zz++++=.
However ^rb+cnj+++=However
, ^zz++++=,
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
interested ^jj+pred+++=interested
in ^in++++=in
them ^pp3o+pp3+++=them
and ^cc++++=and
will ^md+prd+++=will
want ^vb++++=want
to ^to+vcmp+++=to
interview ^vbi++++=interview
them ^pp3o+pp3+++=them
in ^in++++=in
the ^ati++++=the
next ^ap++++=next
couple ^nn++++=couple
weeks ^nns++++=weeks
. ^zz++++=.
