Please ^uh++++=Please
help ^nn++++=help
me ^pp1o+pp1+++=me
write ^vb++++=write
a ^at++++=a
Statement ^nn+nom+++=Statement
of ^in++++=of
Purpose ^nn++++=Purpose
for ^in++++=for
the ^ati++++=the
following ^jj+atrb++xvbg+=following
job ^nn++++=job
advertisement ^nn+nom+++=advertisement
. ^zz++++=.
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
a ^at++++=a
fresh ^jj+atrb+++=fresh
law ^nn++++=law
graduate ^nn+nom+++=graduate
. ^zz++++=.
The ^ati++++=The
statement ^nn+nom+++=statement
should ^md+nec+++=should
be ^vb+be+vrb++=be
of ^in++++=of
about ^in++++=about
500 ^cd++++=500
words ^nns++++=words
. ^zz++++=.
The ^ati++++=The
office ^nn++++=office
of ^in++++=of
Honorable ^np+++??+=Honorable
Mr ^npt++++=Mr
. ^zz++++=.
Justice ^np++++=Justice
Sanjay ^np+++??+=Sanjay
Karol ^np+++??+=Karol
, ^zz++++=,
Judge ^nn++++=Judge
Supreme ^jj+atrb+++=Supreme
Court ^nn++++=Court
of ^in++++=of
India ^np++++=India
is ^vbz+bez+aux++=is
inviting ^vbg+++xvbgx+=inviting
applications ^nns+nom+++=applications
for ^in++++=for
one ^cd1++++=one
position ^nn+nom+++=position
of ^in++++=of
Law ^nn++++=Law
Clerk ^nn++++=Clerk-cum-Legal
- ^zz++++=EXTRAWORD
cum ^&fw++++=EXTRAWORD
- ^zz++++=EXTRAWORD
legal ^jj+atrb+++=EXTRAWORD
Reseacher ^np+nom++??+=Reseacher
with ^in++++=with
joining ^xvbg+++xvbg+=joining
from ^in++++=from
immediate ^jj+atrb+++=immediate
effect ^nn++++=effect
. ^zz++++=.
All ^abn++++=All
interested ^jj+atrb+++=interested
applicants ^nns+nom+++=applicants
must ^md+nec+++=must
share ^vb++++=share
their ^pp$+pp3+++=their
curriculum ^nn++++=curriculum
vitae ^&fw++++=vitae
and ^cc++++=and
one ^cd1++++=one
page ^nn++++=page
statement ^nn+nom+++=statement
of ^in++++=of
purpose ^nn++++=purpose
. ^zz++++=.
