Convert ^vb++++=Convert
this ^dt+dem+++=this
to ^in++++=to
Apa ^np+++??+=APA
. ^zz++++=.
Josephson ^np+++??+=Josephson
, ^zz++++=,
Jyl ^np+++??+=Jyl
. ^zz++++=.
The ^ati++++=The
Intersectionality ^np+nom++??+=Intersectionality
of ^in++++=of
Domestic ^jj+atrb+++=Domestic
Violence ^nn+nom+++=Violence
and ^cc++++=and
Welfare ^nn++++=Welfare
in ^in++++=in
the ^ati++++=the
Lives ^nns++++=Lives
of ^in++++=of
Poor ^jj+atrb+++=Poor
Women ^nns++++=Women
. ^zz++++=.
Journal ^nn++++=Journal
of ^in++++=of
Poverty ^nn++++=Poverty
, ^zz++++=,
vol ^nn++++=vol
. ^zz++++=.
6 ^zz++++=6
, ^zz++++=,
no ^at++++=no
. ^zz++++=.
1 ^zz++++=1
, ^zz++++=,
2002 ^cd++++=2002
, ^zz++++=,
pp ^nns++++=pp
. ^zz++++=.
1 ^zz++++=1
20 ^cd++++=20
. ^zz++++=.
, ^zz++++=,
doi ^nn++++=doi
: ^zz++++=:
10 ^cd++++=10
. ^zz++++=.
1300 ^cd++++=1300/j134
v06 ^nn++++=v06
n01_01 ^nn++++=n01_01
. ^zz++++=.
