What ^wdt+who+++=What
is ^vbz+bez+vrb++=is
the ^ati++++=the
effective ^jj+atrb+++=effective
impedance ^nn+nom+++=impedance
of ^in++++=of
the ^ati++++=the
parallel ^jj+atrb+++=parallel
combination ^nn+nom+++=combination
of ^in++++=of
a ^at++++=a
50 ^cd++++=50
picofarad ^nn+++??+=picofarad
capacitor ^nn++++=capacitor
and ^cc++++=and
a ^at++++=a
35 ^cd++++=35
ohm ^nn++++=ohm
resistor ^nn++++=resistor
? ^zz++++=?
the ^ati++++=The
circuit ^nn++++=circuit
is ^vbz+bez+aux++=is
operating ^vbg+++xvbg+=operating
at ^rb++++=at
300 ^cd++++=300
hz ^np++++=Hz
. ^zz++++=.
