Explain ^vb+vpub+++=Explain
to ^in++++=to
me ^pp1o+pp1+++=me
how ^wrb+who+++=how
a ^at++++=a
computer ^nn+nom+++=computer
understand ^vb+vprv+++=understand
and ^cc+phrs+++=and
execute ^vb++++=execute
a ^at++++=a
code ^nn++++=code
in ^in++++=in
any ^dti++++=any
language ^nn+nom+++=language
, ^zz++++=,
please ^uh++++=please
include ^vb++++=include
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
the ^ati++++=the
specifcs ^nns++++=specifcs
parts ^nns++++=parts
of ^in++++=of
the ^ati++++=the
process ^nns+nom+++=process
. ^zz++++=.
